GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_013751495.1	20894378	N/A	N/A	
GCA_013752075.1	20895138	N/A	N/A	
GCA_013752295.1	20895348	N/A	N/A	
GCA_013782445.1	20941518	N/A	N/A	
GCA_013783465.1	20942858	N/A	N/A	
GCA_013783685.1	20943138	N/A	N/A	
GCA_013783905.1	20943378	N/A	N/A	
GCA_013784085.1	20943598	N/A	N/A	
GCA_013785265.1	20945398	N/A	N/A	
GCA_013785465.1	20945618	N/A	N/A	
GCA_013785665.1	20945958	N/A	N/A	
GCA_013785825.1	20946228	N/A	N/A	
GCA_013786125.1	20946558	N/A	N/A	
GCA_013786165.1	20946738	N/A	N/A	
GCA_013786185.1	20946818	N/A	N/A	
GCA_013786785.1	20947778	N/A	N/A	
GCA_013789905.1	20952208	N/A	N/A	
GCA_013790145.1	20952398	N/A	N/A	
GCA_013790245.1	20952478	N/A	N/A	
GCA_013790285.1	20952598	N/A	N/A	
GCA_013790405.1	20952898	N/A	N/A	
GCA_013790635.1	20953138	N/A	N/A	
GCA_013791815.1	20954538	N/A	N/A	
GCA_013791985.1	20954818	N/A	N/A	
GCA_013795065.1	20958738	N/A	N/A	
GCA_013795285.1	20959088	N/A	N/A	
GCA_013795545.1	20959358	N/A	N/A	
GCA_013795795.1	20959668	N/A	N/A	
GCA_013796065.1	20959918	N/A	N/A	
GCA_013797045.1	20961198	N/A	N/A	
GCA_013797825.1	20962108	N/A	N/A	
GCA_013798625.1	20962938	N/A	N/A	
GCA_013799025.1	20963418	N/A	N/A	
GCA_013799205.1	20963748	N/A	N/A	
GCA_013799505.1	20963988	N/A	N/A	
GCA_013799665.1	20964208	N/A	N/A	
GCA_013800125.1	20964808	N/A	N/A	
GCA_013800705.1	20965498	N/A	N/A	
GCA_013801205.1	20966038	N/A	N/A	
GCA_013802065.1	20967158	N/A	N/A	
GCA_013802345.1	20967428	N/A	N/A	
GCA_013802585.1	20967718	N/A	N/A	
GCA_013802865.1	20968018	N/A	N/A	
GCA_013803045.1	20968318	N/A	N/A	
GCA_013803305.1	20968598	N/A	N/A	
GCA_013803545.1	20968818	N/A	N/A	
GCA_013803745.1	20969078	N/A	N/A	
GCA_013803905.1	20969218	N/A	N/A	
GCA_013804065.1	20969498	N/A	N/A	
GCA_013804245.1	20969758	N/A	N/A	
GCA_013804445.1	20969958	N/A	N/A	
GCA_013804645.1	20970208	N/A	N/A	
GCA_013804865.1	20970468	N/A	N/A	
GCA_013805085.1	20970738	N/A	N/A	
GCA_013805285.1	20971018	N/A	N/A	
GCA_013805505.1	20971278	N/A	N/A	
GCA_013805885.1	20971748	N/A	N/A	
GCA_013806085.1	20971938	N/A	N/A	
GCA_013806305.1	20972218	N/A	N/A	
GCA_013806525.1	20972468	N/A	N/A	
GCA_013806725.1	20972738	N/A	N/A	
GCA_013806925.1	20973028	N/A	N/A	
GCA_013811655.1	20979818	N/A	N/A	
GCA_013812015.1	20980278	N/A	N/A	
GCA_013812225.1	20980568	N/A	N/A	
GCA_013812425.1	20980758	N/A	N/A	
GCA_013812575.1	20980958	N/A	N/A	
GCA_013812745.1	20981198	N/A	N/A	
GCA_013813585.1	20982288	N/A	N/A	
GCA_013813735.1	20982478	N/A	N/A	
GCA_013813895.1	20982678	N/A	N/A	
GCA_013814055.1	20982938	N/A	N/A	
GCA_013814285.1	20983198	N/A	N/A	
GCA_013814665.1	20983638	N/A	N/A	
GCA_013814885.1	20983878	N/A	N/A	
GCA_013815235.1	20984348	N/A	N/A	
GCA_013815445.1	20984538	N/A	N/A	
GCA_013815865.1	20985178	N/A	N/A	
GCA_013816045.1	20985398	N/A	N/A	
GCA_013816205.1	20985558	N/A	N/A	
GCA_013816945.1	20986498	N/A	N/A	
GCA_013817105.1	20986738	N/A	N/A	
GCA_013817315.1	20986998	N/A	N/A	
GCA_013817505.1	20987168	N/A	N/A	
GCA_013817645.1	20987438	N/A	N/A	
GCA_013817865.1	20987718	N/A	N/A	
GCA_013818065.1	20987918	N/A	N/A	
GCA_013818265.1	20988178	N/A	N/A	
GCA_013818475.1	20988418	N/A	N/A	
GCA_013818685.1	20988718	N/A	N/A	
GCA_013818885.1	20988958	N/A	N/A	
GCA_013819805.1	20989998	N/A	N/A	
GCA_013819985.1	20990278	N/A	N/A	
GCA_013820695.1	20991098	N/A	N/A	
GCA_013821045.1	20991518	N/A	N/A	
GCA_013821185.1	20991758	N/A	N/A	
GCA_013821385.1	20991938	N/A	N/A	
GCA_013821835.1	20992498	N/A	N/A	
GCA_013821965.1	20992868	N/A	N/A	
GCA_013822225.1	20993978	N/A	N/A	
GCA_013822325.1	20994578	N/A	N/A	
GCA_013822435.1	20995238	N/A	N/A	
GCA_013822575.1	20995938	N/A	N/A	
GCA_013823125.1	20998268	N/A	N/A	
GCA_013823335.1	20999458	N/A	N/A	
GCA_013823545.1	21000198	N/A	N/A	
GCA_013823705.1	21001038	N/A	N/A	
GCA_013823865.1	21001648	N/A	N/A	
GCA_013823975.1	21002448	N/A	N/A	
GCA_013824185.1	21002928	N/A	N/A	
GCA_013824345.1	21003178	N/A	N/A	
GCA_013824535.1	21003358	N/A	N/A	
GCA_013824695.1	21003518	N/A	N/A	
GCA_013824825.1	21003718	N/A	N/A	
GCA_013824985.1	21003988	N/A	N/A	
GCA_013825245.1	21004358	N/A	N/A	
GCA_013825525.1	21004618	N/A	N/A	
GCA_013826725.1	21006068	N/A	N/A	
GCA_013827205.1	21006658	N/A	N/A	
GCA_013827445.1	21006898	N/A	N/A	
GCA_013827685.1	21007138	N/A	N/A	
GCA_013827905.1	21007318	N/A	N/A	
GCA_013828065.1	21007558	N/A	N/A	
GCA_013828205.1	21007738	N/A	N/A	
GCA_013828415.1	21007998	N/A	N/A	
GCA_013828815.1	21008458	N/A	N/A	
GCA_013828985.1	21008698	N/A	N/A	
GCA_013829445.1	21009218	N/A	N/A	
GCA_013829665.1	21009518	N/A	N/A	
GCA_013829905.1	21009738	N/A	N/A	
GCA_013830125.1	21009998	N/A	N/A	
GCA_013830345.1	21010258	N/A	N/A	
GCA_013830545.1	21010528	N/A	N/A	
GCA_013830785.1	21010798	N/A	N/A	
GCA_013831005.1	21011178	N/A	N/A	
GCA_013831265.1	21011458	N/A	N/A	
GCA_013831545.1	21011718	N/A	N/A	
GCA_013831785.1	21012158	N/A	N/A	
GCA_013831995.1	21012518	N/A	N/A	
GCA_013832285.1	21012858	N/A	N/A	
GCA_013832525.1	21013158	N/A	N/A	
GCA_013832805.1	21013408	N/A	N/A	
GCA_013832965.1	21013588	N/A	N/A	
GCA_013833155.1	21013788	N/A	N/A	
GCA_013833345.1	21014058	N/A	N/A	
GCA_013833585.1	21014328	N/A	N/A	
GCA_013833805.1	21014578	N/A	N/A	
GCA_013833985.1	21014788	N/A	N/A	
GCA_013834305.1	21015218	N/A	N/A	
GCA_013834965.1	21015998	N/A	N/A	
GCA_013835205.1	21016258	N/A	N/A	
GCA_013835405.1	21016498	N/A	N/A	
GCA_013835585.1	21016688	N/A	N/A	
GCA_013835785.1	21016978	N/A	N/A	
GCA_013835945.1	21017138	N/A	N/A	
GCA_013836945.1	21018328	N/A	N/A	
GCA_013837165.1	21018588	N/A	N/A	
GCA_013837385.1	21018848	N/A	N/A	
GCA_013837545.1	21019038	N/A	N/A	
GCA_013837755.1	21019368	N/A	N/A	
GCA_013838005.1	21019618	N/A	N/A	
GCA_013883175.1	21077478	N/A	N/A	
GCA_013883375.1	21077688	N/A	N/A	
GCA_013883815.1	21078288	N/A	N/A	
GCA_013884015.1	21078498	N/A	N/A	
GCA_013884255.1	21078778	N/A	N/A	
GCA_013884475.1	21079028	N/A	N/A	
GCA_013884735.1	21079318	N/A	N/A	
GCA_013884935.1	21079648	N/A	N/A	
GCA_013885155.1	21079908	N/A	N/A	
GCA_013885335.1	21080258	N/A	N/A	
GCA_013885595.1	21080648	N/A	N/A	
GCA_013885915.1	21080928	N/A	N/A	
GCA_013886475.1	21081588	N/A	N/A	
GCA_013886595.1	21081758	N/A	N/A	
GCA_013886735.1	21081858	N/A	N/A	
GCA_013886795.1	21081978	N/A	N/A	
GCA_013886835.1	21082198	N/A	N/A	
GCA_013887055.1	21082558	N/A	N/A	
GCA_013887315.1	21082798	N/A	N/A	
GCA_013887475.1	21083058	N/A	N/A	
GCA_013887755.1	21083338	N/A	N/A	
GCA_013888015.1	21083598	N/A	N/A	
GCA_013888235.1	21083818	N/A	N/A	
GCA_013888395.1	21084098	N/A	N/A	
GCA_013888615.1	21084338	N/A	N/A	
GCA_013888815.1	21084578	N/A	N/A	
GCA_013889215.1	21085078	N/A	N/A	
GCA_013889395.1	21085338	N/A	N/A	
GCA_013889615.1	21085598	N/A	N/A	
GCA_013890055.1	21086048	N/A	N/A	
GCA_013890395.1	21086488	N/A	N/A	
GCA_013890795.1	21086948	N/A	N/A	
GCA_013890995.1	21087238	N/A	N/A	
GCA_013891215.1	21087498	N/A	N/A	
GCA_013891425.1	21087818	N/A	N/A	
GCA_013891675.1	21088098	N/A	N/A	
GCA_013891895.1	21088388	N/A	N/A	
GCA_013892175.1	21088728	N/A	N/A	
GCA_013892635.1	21089258	N/A	N/A	
GCA_013892855.1	21089578	N/A	N/A	
GCA_013893055.1	21089848	N/A	N/A	
GCA_013893255.1	21090098	N/A	N/A	
GCA_013893495.1	21090328	N/A	N/A	
GCA_013893695.1	21090548	N/A	N/A	
GCA_013894035.1	21090968	N/A	N/A	
GCA_013894235.1	21091208	N/A	N/A	
GCA_013894415.1	21091428	N/A	N/A	
GCA_013894775.1	21091858	N/A	N/A	
GCA_013894975.1	21092168	N/A	N/A	
GCA_013895235.1	21092428	N/A	N/A	
GCA_013895455.1	21092818	N/A	N/A	
GCA_013895855.1	21093388	N/A	N/A	
GCA_013896095.1	21093768	N/A	N/A	
GCA_013896295.1	21093988	N/A	N/A	
GCA_013896515.1	21094358	N/A	N/A	
GCA_013896775.1	21094768	N/A	N/A	
GCA_013897255.1	21095398	N/A	N/A	
GCA_013897395.1	21095758	N/A	N/A	
GCA_013897665.1	21096118	N/A	N/A	
GCA_013897915.1	21096518	N/A	N/A	
GCA_013898135.1	21097058	N/A	N/A	
GCA_013898635.1	21097758	N/A	N/A	
GCA_013898775.1	21097978	N/A	N/A	
GCA_013898915.1	21098078	N/A	N/A	
GCA_013898935.1	21098198	N/A	N/A	
GCA_013898955.1	21098298	N/A	N/A	
GCA_013898975.1	21098418	N/A	N/A	
GCA_013898995.1	21098518	N/A	N/A	
GCA_013899015.1	21098638	N/A	N/A	
GCA_013899055.1	21098838	N/A	N/A	
GCA_013899075.1	21098898	N/A	N/A	
GCA_013899095.1	21098998	N/A	N/A	
GCA_013899115.1	21099088	N/A	N/A	
GCA_013899145.1	21099228	N/A	N/A	
GCA_013899165.1	21099328	N/A	N/A	
GCA_013899185.1	21099408	N/A	N/A	
GCA_013899205.1	21100928	N/A	N/A	
GCA_013899225.1	21100988	N/A	N/A	
GCA_013899245.1	21101048	N/A	N/A	
GCA_013899265.1	21101108	N/A	N/A	
GCA_013899285.1	21101148	N/A	N/A	
GCA_013899445.1	21101488	N/A	N/A	
GCA_013899465.1	21101568	N/A	N/A	
GCA_013899485.1	21101648	N/A	N/A	
GCA_013899525.1	21101708	N/A	N/A	
GCA_013899545.1	21101788	N/A	N/A	
GCA_013899585.1	21101868	N/A	N/A	
GCA_013899605.1	21101928	N/A	N/A	
GCA_013899625.1	21101988	N/A	N/A	
GCA_013899645.1	21102028	N/A	N/A	
GCA_013899665.1	21102088	N/A	N/A	
GCA_013899705.1	21102228	N/A	N/A	
GCA_013899725.1	21102288	N/A	N/A	
GCA_013899745.1	21102328	N/A	N/A	
GCA_013899765.1	21102388	N/A	N/A	
GCA_013899785.1	21102448	N/A	N/A	
GCA_013899805.1	21102508	N/A	N/A	
GCA_013899825.1	21102568	N/A	N/A	
GCA_013899865.1	21102718	N/A	N/A	
GCA_013899885.1	21102768	N/A	N/A	
GCA_013899905.1	21102828	N/A	N/A	
GCA_013899925.1	21102888	N/A	N/A	
GCA_013899945.1	21102958	N/A	N/A	
GCA_013899965.1	21103008	N/A	N/A	
GCA_013899985.1	21103068	N/A	N/A	
GCA_013900005.1	21103128	N/A	N/A	
GCA_013900025.1	21103208	N/A	N/A	
GCA_013900045.1	21103268	N/A	N/A	
GCA_013900065.1	21103328	N/A	N/A	
GCA_013900085.1	21103388	N/A	N/A	
GCA_013900105.1	21103428	N/A	N/A	
GCA_013900125.1	21103488	N/A	N/A	
GCA_013900145.1	21103548	N/A	N/A	
GCA_013900165.1	21103608	N/A	N/A	
GCA_013900185.1	21103668	N/A	N/A	
GCA_013900205.1	21103728	N/A	N/A	
GCA_013900225.1	21103768	N/A	N/A	
GCA_013900245.1	21103828	N/A	N/A	
GCA_013900265.1	21103908	N/A	N/A	
GCA_013900285.1	21103968	N/A	N/A	
GCA_013900305.1	21104028	N/A	N/A	
GCA_013900325.1	21104108	N/A	N/A	
GCA_013900345.1	21104168	N/A	N/A	
GCA_013921705.1	21146828	N/A	N/A	
GCA_013921965.1	21147218	N/A	N/A	
GCA_013922265.1	21147528	N/A	N/A	
GCA_013922565.1	21147778	N/A	N/A	
GCA_013922765.1	21148068	N/A	N/A	
GCA_013922965.1	21148268	N/A	N/A	
GCA_013923405.1	21148848	N/A	N/A	
GCA_013996575.1	21258568	N/A	N/A	
GCA_013996855.1	21258888	N/A	N/A	
GCA_014108885.1	21479918	N/A	N/A	
GCA_014108905.1	21479938	N/A	N/A	
GCA_014108925.1	21479958	N/A	N/A	
GCA_014108945.1	21479978	N/A	N/A	
GCA_014108965.1	21479998	N/A	N/A	
GCA_014108985.1	21480018	N/A	N/A	
GCA_014109005.1	21480038	N/A	N/A	
GCA_014109025.1	21480058	N/A	N/A	
GCA_014109045.1	21480078	N/A	N/A	
GCA_014109065.1	21480098	N/A	N/A	
GCA_014109085.1	21480118	N/A	N/A	
GCA_014109105.1	21480138	N/A	N/A	
GCA_014109125.1	21480158	N/A	N/A	
GCA_014109285.1	21480368	N/A	N/A	
GCA_014109385.1	21480478	N/A	N/A	
GCA_014109545.1	21480638	N/A	N/A	
GCA_014109625.1	21480658	N/A	N/A	
GCA_014109645.1	21480678	N/A	N/A	
GCA_014109665.1	21480698	N/A	N/A	
GCA_014109685.1	21480718	N/A	N/A	
GCA_014170595.1	21555968	N/A	N/A	
GCA_014170695.1	21556088	N/A	N/A	
GCA_014170715.1	21556108	N/A	N/A	
GCA_014170735.1	21556188	N/A	N/A	
GCA_014170945.1	21556328	N/A	N/A	
GCA_014794165.1	22373158	N/A	N/A	
GCA_015241315.1	22923388	N/A	N/A	
GCA_015241535.1	22923688	N/A	N/A	
GCA_015241835.1	22923988	N/A	N/A	
GCA_015242035.1	22924158	N/A	N/A	
GCA_015242275.1	22924358	N/A	N/A	
GCA_015242435.1	22924518	N/A	N/A	
GCA_015242675.1	22924748	N/A	N/A	
GCA_015244435.1	22926418	N/A	N/A	
GCA_015290945.1	22978618	N/A	N/A	
GCA_016237425.1	24117358	N/A	N/A	
GCA_016767925.1	24782368	N/A	N/A	
GCA_016834635.1	24922548	N/A	N/A	
GCA_016834675.1	24922588	N/A	N/A	
GCA_016834695.1	24922608	N/A	N/A	
GCA_016834715.1	24922628	N/A	N/A	
GCA_016834735.1	24922648	N/A	N/A	
GCA_016834755.1	24922668	N/A	N/A	
GCA_016834775.1	24922688	N/A	N/A	
GCA_016834795.1	24922708	N/A	N/A	
GCA_016834815.1	24922728	N/A	N/A	
GCA_016834835.1	24922748	N/A	N/A	
GCA_016834855.1	24922768	N/A	N/A	
GCA_016834875.1	24922788	N/A	N/A	
GCA_016834895.1	24922808	N/A	N/A	
GCA_016834915.1	24922828	N/A	N/A	
GCA_016834935.1	24922848	N/A	N/A	
GCA_016834955.1	24922868	N/A	N/A	
GCA_016834975.1	24922888	N/A	N/A	
GCA_016834995.1	24922908	N/A	N/A	
GCA_016835015.1	24922928	N/A	N/A	
GCA_016835035.1	24922948	N/A	N/A	
GCA_016835055.1	24922968	N/A	N/A	
GCA_016835075.1	24922988	N/A	N/A	
GCA_016835095.1	24923008	N/A	N/A	
GCA_016925075.1	25072218	N/A	N/A	
GCA_016925095.1	25072238	N/A	N/A	
GCA_016925115.1	25072258	N/A	N/A	
GCA_017338715.1	25524178	N/A	N/A	
GCA_017347505.1	25533028	N/A	N/A	
GCA_017792185.1	26056498	N/A	N/A	
GCA_900196535.2	15738288	N/A	N/A	
GCA_000167875.2	12909808	GCF_000167875.2	17945888	
GCA_000464955.2	5148618	GCF_000464955.2	5184908	
GCA_000493755.1	850618	GCF_000493755.1	854228	
GCA_000520035.1	893088	GCF_000520035.1	1495618	
GCA_000520055.1	893108	GCF_000520055.1	1495418	
GCA_000597845.1	972258	GCF_000597845.1	1523868	
GCA_000599625.1	974368	GCF_000599625.1	1495718	
GCA_000599645.1	974388	GCF_000599645.1	1495758	
GCA_000599665.1	974408	GCF_000599665.1	1495058	
GCA_000599685.1	974428	GCF_000599685.1	1495298	
GCA_000599705.1	974448	GCF_000599705.1	1495038	
GCA_000662395.1	1039318	GCF_000662395.1	1495818	
GCA_000671295.1	1048278	GCF_000671295.1	1495558	
GCA_000714595.1	1153248	GCF_000714595.1	1495658	
GCA_000725265.1	1169238	GCF_000725265.1	1575898	
GCA_000732965.1	1177868	GCF_000732965.1	1495468	
GCA_000784925.1	1386028	GCF_000784925.1	1494838	
GCA_000800215.1	1419148	GCF_000800215.1	1495838	
GCA_000801165.1	1420668	GCF_000801165.1	1490268	
GCA_000801185.2	1820168	GCF_000801185.2	1864178	
GCA_000801205.1	1420708	GCF_000801205.1	1490188	
GCA_000814145.2	1651168	GCF_000814145.2	1671108	
GCA_000833635.2	4228018	GCF_000833635.2	4242748	
GCA_000931565.1	1636548	GCF_000931565.1	1659258	
GCA_000968515.1	1720138	GCF_000968515.1	1722358	
GCA_000974405.1	1730148	GCF_000974405.1	1736458	
GCA_000974465.1	1730198	GCF_000974465.1	1736478	
GCA_000974505.1	1730238	GCF_000974505.1	1736718	
GCA_000974535.1	1730278	GCF_000974535.1	1736378	
GCA_000974575.1	1730308	GCF_000974575.1	1736738	
GCA_000974825.1	1730768	GCF_000974825.1	1736498	
GCA_000974865.1	1730808	GCF_000974865.1	1736758	
GCA_000974885.1	1730828	GCF_000974885.1	1736398	
GCA_000986765.1	1746538	GCF_000986765.1	1752818	
GCA_001007915.1	1774958	GCF_001007915.1	1778338	
GCA_001021635.2	6959688	GCF_001021635.2	6969428	
GCA_001043215.1	1849938	GCF_001043215.1	1864038	
GCA_001280325.1	2311098	GCF_001280325.1	2850318	
GCA_001280345.1	2311118	GCF_001280345.1	2850778	
GCA_001280385.1	2311158	GCF_001280385.1	2850558	
GCA_001280405.1	2311178	GCF_001280405.1	2312718	
GCA_001307215.1	2383088	GCF_001307215.1	2850978	
GCA_001420935.1	2559688	GCF_001420935.1	2845618	
GCA_001420955.1	2559708	GCF_001420955.1	2846118	
GCA_001442495.1	2654228	GCF_001442495.1	2683798	
GCA_001469815.1	2727248	GCF_001469815.1	2849998	
GCA_001513615.1	2787038	GCF_001513615.1	2793298	
GCA_001513635.1	2787058	GCF_001513635.1	2791958	
GCA_001513655.1	2787078	GCF_001513655.1	14364078	
GCA_001542675.2	2886358	GCF_001542675.2	2895958	
GCA_001544635.1	2855808	GCF_001544635.1	2861598	
GCA_001558995.2	3269708	GCF_001558995.2	3271888	
GCA_001559615.2	3328138	GCF_001559615.2	3329648	
GCA_001559635.1	2875088	GCF_001559635.1	2877178	
GCA_001559655.1	2875108	GCF_001559655.1	2877438	
GCA_001559675.1	2875148	GCF_001559675.1	2877398	
GCA_001566335.1	2886298	GCF_001566335.1	2896438	
GCA_001566615.1	2886718	GCF_001566615.1	2896578	
GCA_001566635.1	2886738	GCF_001566635.1	2896238	
GCA_001566655.1	2886758	GCF_001566655.1	3310258	
GCA_001566675.1	2886778	GCF_001566675.1	2895638	
GCA_001577325.1	2907958	GCF_001577325.1	2918718	
GCA_001593565.1	3112388	GCF_001593565.1	3129058	
GCA_001610755.1	3159918	GCF_001610755.1	3177978	
GCA_001612475.1	3170718	GCF_001612475.1	3179058	
GCA_001612495.1	3170738	GCF_001612495.1	3179038	
GCA_001617565.1	3183188	GCF_001617565.1	3186328	
GCA_001618325.1	3187648	GCF_001618325.1	3188288	
GCA_001618345.2	3346388	GCF_001618345.2	3350348	
GCA_001618365.1	3187688	GCF_001618365.1	3188268	
GCA_001644725.1	3242888	GCF_001644725.1	3244698	
GCA_001644745.1	3242908	GCF_001644745.1	3244358	
GCA_001645235.2	5602118	GCF_001645235.2	8552218	
GCA_001650275.1	3269798	GCF_001650275.1	3274208	
GCA_001650295.1	3269818	GCF_001650295.1	3274228	
GCA_001651925.2	4920868	GCF_001651925.2	4933928	
GCA_001651945.2	5848258	GCF_001651945.2	5877398	
GCA_001651965.2	4912178	GCF_001651965.2	4917568	
GCA_001660565.1	3289808	GCF_001660565.1	3294348	
GCA_001663475.1	3299718	GCF_001663475.1	3315768	
GCA_001675145.1	3319298	GCF_001675145.1	3322148	
GCA_001677475.2	26103418	GCF_001677475.2	26174128	
GCA_001677495.1	3327438	GCF_001677495.1	3329768	
GCA_001677515.1	3327458	GCF_001677515.1	3329668	
GCA_001678965.1	3330388	GCF_001678965.1	3332128	
GCA_001679985.1	3332208	GCF_001679985.1	3333628	
GCA_001682305.2	4335488	GCF_001682305.2	4339768	
GCA_001683435.1	3340218	GCF_001683435.1	3341438	
GCA_001693315.1	3359398	GCF_001693315.1	3362788	
GCA_001693635.1	3360648	GCF_001693635.1	3364438	
GCA_001695515.1	3362808	GCF_001695515.1	3365538	
GCA_001721125.1	3436228	GCF_001721125.1	3456718	
GCA_001721205.1	3436308	GCF_001721205.1	3439268	
GCA_001721225.1	3436328	GCF_001721225.1	3439208	
GCA_001721525.1	3437748	GCF_001721525.1	3440228	
GCA_001723505.1	3441858	GCF_001723505.1	3445198	
GCA_001735705.1	3457128	GCF_001735705.1	3464328	
GCA_001750845.1	3480078	GCF_001750845.1	3481588	
GCA_001753445.1	3497208	GCF_001753445.1	3498278	
GCA_001753465.1	3497228	GCF_001753465.1	3498198	
GCA_001753485.1	3497248	GCF_001753485.1	3498318	
GCA_001753505.1	3497268	GCF_001753505.1	3498378	
GCA_001753525.1	3497288	GCF_001753525.1	3498218	
GCA_001753545.1	3497308	GCF_001753545.1	3498298	
GCA_001753565.1	3497328	GCF_001753565.1	3498258	
GCA_001806265.1	3562738	GCF_001806265.1	3613268	
GCA_001806285.1	3562758	GCF_001806285.1	3613948	
GCA_001860505.1	3675118	GCF_001860505.1	3682148	
GCA_001865295.1	3682338	GCF_001865295.1	3689408	
GCA_001874485.1	3719658	GCF_001874485.1	6022428	
GCA_001886535.1	3745058	GCF_001886535.1	3766808	
GCA_001886555.1	3745078	GCF_001886555.1	3766468	
GCA_001886575.1	3745098	GCF_001886575.1	3766728	
GCA_001886755.1	3745278	GCF_001886755.1	3766488	
GCA_001886895.1	3745418	GCF_001886895.1	6593068	
GCA_001886935.1	3745458	GCF_001886935.1	3766868	
GCA_001888075.1	3746868	GCF_001888075.1	3813408	
GCA_001890205.1	3768498	GCF_001890205.1	3832868	
GCA_001890225.1	3768518	GCF_001890225.1	3833528	
